rating,review_count,owner_response,verified_reviewers,templated_reviews,label
3.8,2464,1,1,1,0
2.5,146,0,0,1,1
4.1,4019,0,1,0,0
4.6,4119,1,1,0,0
2.4,261,0,1,1,1
1.6,171,0,0,1,1
2.2,94,0,0,1,1
4.1,1354,0,1,0,0
4.9,2800,1,1,0,0
4.3,3857,0,1,0,0
1.4,130,0,1,1,1
3.8,373,1,0,0,1
1.2,40,0,0,1,1
2.6,264,0,1,0,1
4.1,4821,1,1,0,0
2.6,249,0,0,1,1
3.7,2995,1,1,0,0
3.9,490,0,0,1,1
3.6,2255,1,0,0,0
4.3,2975,1,1,1,0
2.1,329,0,1,1,1
2.5,445,0,0,1,1
3.7,46,0,0,1,1
4.2,2792,1,1,0,0
4.5,1191,0,1,0,0
2.6,401,0,0,1,1
4.0,189,1,1,1,0
2.9,24,0,0,1,1
1.9,225,0,0,1,1
2.8,142,0,0,1,1
2.8,429,0,0,1,1
1.8,138,1,1,1,1
4.7,3805,1,1,0,0
3.9,429,1,0,1,1
2.7,440,0,1,1,1
1.8,311,1,0,1,1
3.5,317,0,1,1,1
3.5,32,1,1,1,1
3.7,2272,1,1,1,0
4.9,2688,1,1,0,0
2.6,291,1,0,1,1
1.7,436,0,0,1,1
2.2,137,0,1,1,1
1.5,270,0,0,1,1
3.9,233,0,0,1,1
3.0,216,0,0,1,1
5.0,3575,0,1,0,0
4.8,1222,1,1,0,0
3.6,1239,1,1,1,0
4.9,1159,1,1,1,0
1.9,68,0,0,1,1
3.7,3907,1,1,0,0
3.3,141,1,1,1,1
2.1,295,0,0,1,1
1.7,160,0,1,1,1
1.4,482,0,1,1,1
4.2,2403,1,1,0,0
5.0,1634,1,1,0,0
3.5,2553,0,1,0,0
3.0,232,0,1,1,1
2.2,139,0,1,0,1
1.7,226,1,0,0,1
2.4,287,0,0,1,1
4.4,3910,1,1,0,0
2.1,85,0,1,1,1
3.9,838,0,1,0,0
2.0,344,0,0,1,1
5.0,1752,1,1,0,0
4.6,1438,1,1,0,0
5.0,376,1,1,0,0
2.0,138,0,0,1,1
2.4,51,0,0,1,1
4.3,4540,1,1,0,0
4.4,1113,1,1,0,0
3.4,460,0,1,1,1
4.3,3913,0,1,0,0
4.9,493,0,1,0,0
3.9,3981,1,1,0,0
3.8,60,0,0,1,1
3.7,59,1,1,1,1
3.1,358,0,0,1,1
3.6,2879,1,1,0,0
4.9,3580,1,1,0,0
4.6,3520,0,1,0,0
3.9,2426,0,1,0,0
4.5,3315,1,1,0,0
2.6,418,0,1,1,1
3.9,98,0,1,1,1
3.8,4933,0,1,1,0
4.3,4759,1,1,0,0
4.9,2419,1,1,0,0
1.7,173,0,1,1,1
3.9,4394,1,1,0,0
3.5,36,0,0,0,1
4.8,553,1,1,1,0
3.5,1747,1,1,0,0
4.2,3984,1,1,0,0
4.6,1134,0,0,1,0
3.9,457,1,1,0,1
1.7,305,0,1,1,1
3.9,137,0,1,0,1
4.6,2014,1,1,1,0
4.8,4378,1,0,0,0
3.2,50,0,0,0,1
4.2,3006,1,0,0,0
2.1,328,0,0,0,1
2.9,134,0,0,1,1
3.8,218,0,0,1,1
3.8,3088,1,1,0,0
2.8,302,0,0,1,1
3.8,2995,1,1,0,0
4.9,3127,1,1,0,0
3.7,450,1,1,1,0
4.3,706,0,0,0,0
3.6,913,1,1,0,0
4.8,3231,1,1,1,0
1.3,8,0,0,1,1
3.7,379,1,1,0,0
2.0,345,0,1,1,1
4.5,2573,0,1,0,0
1.9,212,1,0,1,1
4.0,124,0,1,1,1
2.5,494,1,1,1,1
4.7,4023,1,1,0,0
4.5,4381,0,1,0,0
4.3,177,1,1,0,0
4.8,651,0,1,0,0
3.7,286,0,0,1,1
1.5,40,0,0,1,1
3.6,4169,1,1,0,0
4.7,385,1,1,0,0
2.9,341,0,0,0,1
4.6,3087,1,1,0,0
1.6,148,0,0,1,1
3.8,3371,1,1,0,0
2.6,4,0,1,1,1
1.8,152,0,0,1,1
4.1,2907,1,1,0,0
2.4,174,0,0,1,1
3.7,917,0,1,0,0
3.7,198,1,1,0,0
2.7,320,0,0,1,1
1.5,425,0,0,0,1
2.1,403,1,0,1,1
1.4,71,0,0,1,1
3.3,313,1,0,1,1
4.4,4540,1,1,1,0
3.7,4267,1,1,0,0
3.1,164,0,1,0,1
2.0,190,0,0,1,1
1.3,303,0,1,1,1
1.5,96,0,0,1,1
4.3,2286,1,1,1,0
4.2,1376,0,1,1,0
3.5,4356,1,1,0,0
4.0,354,0,0,1,1
1.9,177,0,1,0,1
3.7,969,1,1,0,0
4.2,617,1,1,0,0
2.1,107,0,1,0,1
2.1,331,0,0,0,1
4.4,4931,1,1,0,0
1.3,187,0,1,1,1
3.6,4819,1,1,0,0
2.9,45,0,0,1,1
3.3,296,0,1,1,1
3.9,2859,0,0,1,0
3.5,36,0,0,1,1
4.9,2276,1,1,0,0
3.8,1885,1,1,1,0
2.0,128,1,0,1,1
4.5,3000,1,1,0,0
2.3,57,0,0,1,1
2.9,362,0,1,1,1
2.7,302,0,0,1,1
4.8,1838,1,1,0,0
1.6,326,0,0,1,1
1.6,241,0,0,1,1
3.1,372,0,1,0,1
4.7,3405,1,0,0,0
3.8,4507,1,1,0,0
2.9,14,0,0,1,1
3.6,2270,1,1,0,0
4.4,1086,1,1,0,0
3.9,991,1,1,0,0
1.0,314,0,0,1,1
3.1,447,0,0,1,1
3.8,3167,1,1,0,0
4.1,2382,1,1,0,0
3.1,457,0,0,1,1
1.7,354,1,0,1,1
4.6,289,1,1,0,0
4.7,1467,0,1,0,0
2.4,133,1,1,1,1
2.5,1,0,0,1,1
3.9,301,0,0,1,1
3.2,100,1,0,0,1
3.9,312,0,1,0,1
4.5,509,1,1,0,0
3.1,346,0,0,1,1
2.7,71,0,1,1,1
1.1,275,0,0,1,1
3.9,3159,1,1,0,0
4.3,4987,1,1,0,0
2.6,355,0,0,0,1
3.6,320,0,0,1,1
2.7,305,0,0,1,1
1.6,95,0,0,1,1
2.9,326,0,1,1,1
4.9,4373,1,1,1,0
4.0,1171,0,1,0,0
5.0,4478,1,1,0,0
2.0,341,0,0,0,1
4.9,4918,0,1,0,0
1.1,11,0,0,0,1
4.3,3953,1,0,0,0
4.8,4378,1,1,0,0
4.6,3510,1,0,0,0
2.1,469,0,1,0,1
5.0,2196,1,1,0,0
2.5,311,0,1,0,1
4.2,3820,1,1,0,0
4.4,475,1,1,1,0
4.8,576,0,1,1,0
1.9,363,0,0,0,1
3.5,450,1,1,1,1
4.3,3351,0,1,0,0
2.2,356,0,0,1,1
3.8,4925,0,1,0,0
3.1,413,1,0,1,1
3.6,351,0,0,1,1
1.1,491,0,1,1,1
2.9,460,0,1,1,1
3.8,1512,0,1,0,0
3.7,360,0,0,1,1
4.3,2779,1,1,0,0
4.2,2157,0,1,0,0
3.1,8,1,0,0,1
3.5,63,0,0,1,1
1.0,263,0,1,1,1
3.3,407,0,0,1,1
3.8,454,0,1,1,1
3.9,3687,0,1,0,0
5.0,4775,1,1,0,0
4.6,1983,1,1,1,0
2.5,498,0,0,1,1
1.1,440,0,1,1,1
3.0,53,0,1,1,1
1.1,41,1,1,1,1
3.5,2294,0,1,1,0
4.9,773,0,1,0,0
3.5,31,0,1,0,1
4.1,3512,1,1,1,0
3.1,149,0,0,1,1
3.4,2,0,0,1,1
4.5,501,0,1,0,0
5.0,121,1,1,0,0
2.3,396,0,0,1,1
3.8,707,0,1,0,0
3.6,3451,1,1,0,0
1.3,477,0,1,1,1
4.6,2669,0,1,0,0
4.4,1848,1,1,0,0
3.5,1662,1,1,0,0
1.3,61,0,0,1,1
5.0,3827,1,1,0,0
4.3,3167,1,1,0,0
4.7,1155,1,1,0,0
3.3,143,1,1,1,1
4.9,1821,0,1,0,0
4.6,4761,1,1,0,0
1.1,499,0,1,1,1
2.0,445,0,0,0,1
2.9,399,1,0,1,1
5.0,4057,1,1,0,0
4.0,3902,1,1,1,0
2.7,483,0,0,0,1
3.9,298,0,1,1,1
3.7,279,0,1,1,1
3.7,237,1,1,0,0
3.7,1906,1,1,1,0
3.9,420,0,0,1,1
3.0,406,0,1,0,1
1.5,130,0,1,1,1
4.0,1791,0,1,0,0
3.8,394,0,1,1,1
4.5,3124,1,1,0,0
2.9,51,1,0,1,1
2.4,55,0,1,1,1
4.8,1934,1,1,0,0
2.8,369,0,0,1,1
2.7,153,1,0,1,1
4.7,940,1,1,0,0
2.8,373,0,0,0,1
4.4,1839,0,0,0,0
5.0,4211,1,1,1,0
2.1,226,0,1,0,1
3.7,313,1,1,1,1
1.6,463,0,0,0,1
5.0,326,1,1,0,0
3.2,58,0,0,1,1
3.4,57,0,1,1,1
3.8,3002,1,1,0,0
4.1,1132,0,1,0,0
5.0,2944,1,1,0,0
3.8,379,0,1,1,1
2.5,382,0,1,0,1
1.6,391,0,0,1,1
4.3,1459,0,1,0,0
2.4,128,0,0,1,1
4.5,4085,1,1,0,0
1.9,450,1,0,0,1
4.3,785,1,1,1,0
4.4,1258,1,0,0,0
4.7,1899,1,1,0,0
1.5,195,0,0,0,1
4.8,2703,1,1,1,0
4.4,1838,1,1,0,0
3.7,342,1,1,1,1
1.1,469,0,0,1,1
3.9,1627,1,1,0,0
4.1,1321,0,1,1,0
3.5,420,0,0,1,1
4.4,3429,1,1,0,0
3.1,260,0,1,1,1
2.5,391,1,1,1,1
4.8,1579,1,1,0,0
3.9,2482,1,0,0,0
3.7,127,0,1,0,0
3.8,295,1,1,0,1
1.6,171,0,0,1,1
2.4,82,0,0,1,1
4.8,4869,0,1,1,0
4.8,3537,1,1,0,0
3.5,459,0,0,1,1
4.6,4838,1,1,1,0
4.3,1725,1,1,0,0
1.0,431,0,0,0,1
2.1,188,0,0,1,1
3.9,445,1,1,1,1
4.6,858,1,1,0,0
4.1,128,1,1,0,0
3.0,43,1,0,1,1
4.7,827,0,1,0,0
3.7,444,0,1,1,1
3.6,276,1,1,0,0
3.9,4503,1,1,1,0
3.9,405,0,0,1,1
3.4,66,0,1,1,1
5.0,4528,0,1,0,0
1.0,145,1,1,0,1
4.6,1293,1,1,0,0
5.0,4825,1,1,0,0
4.2,3379,0,0,0,0
3.6,392,0,0,1,1
4.7,953,1,1,0,0
4.7,1789,0,1,1,0
4.3,3743,1,0,0,0
4.3,2043,0,1,0,0
1.4,296,0,0,0,1
2.8,23,1,0,1,1
3.8,3454,1,1,0,0
4.1,2755,1,1,1,0
2.8,317,0,0,0,1
3.9,246,0,1,1,1
1.5,396,0,1,1,1
3.4,58,0,0,0,1
1.2,409,0,0,1,1
4.9,1374,1,1,1,0
3.0,308,0,0,1,1
4.2,2359,1,1,0,0
3.9,2275,0,1,0,0
3.9,3143,1,1,1,0
1.9,199,0,0,1,1
3.7,207,1,1,0,1
4.0,3589,0,1,0,0
3.7,2085,1,1,1,0
4.0,3509,1,1,0,0
4.0,642,0,1,1,0
2.9,16,0,0,1,1
3.4,96,0,1,1,1
2.6,446,1,0,1,1
4.4,833,0,0,0,0
4.6,3738,1,1,0,0
3.6,301,0,0,1,1
2.1,183,0,0,1,1
4.5,3937,1,1,0,0
4.9,4068,1,1,0,0
4.4,1979,1,1,0,0
4.7,891,1,1,1,0
4.8,3221,1,1,0,0
4.7,1425,0,1,0,0
3.7,227,0,0,1,1
3.9,3565,1,1,1,0
3.5,4925,1,1,1,0
3.9,2098,0,1,1,0
4.5,4943,0,0,0,0
4.9,1774,0,1,0,0
1.0,7,0,0,1,1
4.8,201,1,1,0,0
3.9,38,0,0,1,1
2.1,462,0,0,0,1
1.1,257,0,0,0,1
4.6,2491,1,1,0,0
3.5,277,1,1,0,0
5.0,1198,1,1,0,0
3.9,357,0,1,0,1
3.9,1439,1,1,0,0
4.5,2460,1,1,0,0
3.8,2525,1,1,0,0
3.5,360,0,0,0,1
4.0,2371,0,1,0,0
3.8,1093,1,1,0,0
2.3,78,1,0,1,1
3.6,120,0,0,1,1
4.3,2058,1,1,1,0
3.3,284,1,0,1,1
2.4,274,0,0,1,1
3.4,156,0,0,1,1
1.5,329,0,0,1,1
4.2,4598,1,1,1,0
2.0,102,1,0,1,1
1.6,296,0,0,1,1
4.9,2992,1,1,0,0
3.9,2051,1,1,0,0
4.1,4816,1,1,0,0
4.5,3341,0,1,0,0
3.7,419,0,0,1,1
4.8,2145,1,1,1,0
2.3,26,1,0,1,1
4.0,1972,1,1,0,0
3.9,3081,1,1,0,0
2.7,430,0,1,1,1
3.5,230,0,0,1,1
3.5,138,0,0,1,1
2.0,176,0,1,0,1
3.5,4158,1,1,0,0
3.7,1064,1,1,0,0
3.9,163,0,0,1,1
3.2,303,0,0,0,1
3.8,413,0,1,1,1
4.2,4476,1,1,0,0
1.5,124,0,0,1,1
4.9,4396,1,1,1,0
2.4,117,0,1,1,1
1.5,373,0,0,1,1
3.6,933,0,1,0,0
4.1,4198,0,1,0,0
1.2,408,0,0,1,1
3.8,427,0,1,1,1
3.5,166,1,1,0,0
4.3,4621,1,1,0,0
3.7,323,0,0,0,1
4.8,816,0,1,0,0
2.6,425,1,1,0,1
1.7,298,0,0,1,1
3.7,100,0,1,0,0
2.3,407,0,0,1,1
3.8,283,0,0,1,1
4.7,2991,0,1,0,0
3.9,3794,1,1,0,0
4.5,1495,1,1,0,0
1.5,277,0,1,0,1
4.7,608,1,1,0,0
4.7,2481,1,1,0,0
4.4,1306,1,1,0,0
1.8,180,0,1,0,1
5.0,4431,1,1,0,0
3.8,4113,1,0,0,0
2.4,401,0,1,1,1
2.0,288,0,0,1,1
3.1,261,0,0,1,1
4.3,3910,1,1,0,0
2.7,277,1,0,1,1
4.0,120,1,1,0,0
4.5,3664,1,1,0,0
4.2,1456,1,1,0,0
3.6,4510,1,1,0,0
3.0,489,1,1,1,1
1.6,246,0,0,1,1
4.4,454,1,1,0,0
4.7,776,1,1,0,0
1.4,495,0,0,1,1
5.0,3343,1,1,0,0
3.6,3346,0,1,0,0
4.2,897,0,0,0,0
2.8,172,0,0,0,1
3.9,283,1,1,0,0
2.5,234,0,0,1,1
3.9,347,0,0,0,1
1.3,215,0,0,1,1
3.7,3032,1,1,1,0
4.5,1651,1,1,0,0
4.0,4201,1,1,0,0
3.6,1646,1,1,0,0
4.2,4550,1,1,0,0
1.9,166,0,0,1,1
3.6,4059,1,1,0,0
3.8,3453,1,1,0,0
2.0,102,0,0,1,1
